CountryA
Hospital	H1	4	10	500	500
Workshop	W1	2	8	500	500
Headquaters	HQ1	5	7	100	100
BattlePosition	5	12
BattlePosition	8	10
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryC
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryD
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryE
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryF
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryG
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
CountryH
BankUnit	Shooter	100	0
BankUnit	Machine_Gun_Operator	100	0
BankUnit	Grenade_Launcher_Operator	100	0
BankUnit	Scout	100	0
BankUnit	Sniper	100	0
BankUnit	Car_Driver	100	0
BankUnit	Tank_Driver	100	0
BankUnit	Armed_Vehicle_Driver	100	0
BankUnit	Artillery_Driver	100	0
BankUnit	Mechanic	100	0
BankUnit	Medic	100	0
BankUnit	Sapper	100	0
BankUnit	Signal_Com	100	0
BankUnit	Aimer	100	0
BankUnit	Artilleryman	100	0
BankUnit	Paratrooper	100	0
BankUnit	Drone_Operator	100	0
BankUnit	Pilot	100	0
BankUnit	Navy	100	0
BankUnit	Chemical_Corp	100	0
BankUnit	Anti_Aircraft_Operator	100	0
BankUnit	Special_Forces	100	0
BankUnit	Car	100	0
BankUnit	Armed_Vehicle	100	0
BankUnit	Tank	100	0
BankUnit	Self_Propelling_Artillery	100	0
BankUnit	Multiple_Rocket_Launcher	100	0
BankUnit	Electromagnetic_Warfare_System	100	0
BankUnit	Artillery_System	100	0
BankUnit	Anti_Aircraft_System	100	0
BankUnit	Radar	100	0
BankUnit	Observing_Drone	100	0
BankUnit	Ship	100	0
BankUnit	Submarine	100	0
BankUnit	Boat	100	0
BankUnit	Helicopter	100	0
BankUnit	Fighter_Airplane	100	0
BankUnit	Cargo_Airplane	100	0
BankUnit	Bomber_Airplane	100	0
BankUnit	Pistol	100	0
BankUnit	Assault_Rifle	100	0
BankUnit	Sniper_Rifle	100	0
BankUnit	Grenade_Launcher	100	0
BankUnit	Machine_Gun	100	0
BankUnit	Mortar	100	0
BankUnit	Bullet	100	0
BankUnit	Cartridge	100	0
BankUnit	Hand_Grenade	100	0
